Name,Degrees,Department,Department2,Rank,AdministrativePosition,Faculty
"Kennedy,John ","BA Manitoba, Ph.D. USA ",Business - Associate Dean ,,Professor Emeritus ,,Ivey
"Kennedy,Patrick Martin ",BA/MA Western ,Arts - Writing ,,Lecturer ,,Arts & Humanities
"Kennedy,Thomas G ",BSc Ph.D. at NEW SOUTH WA ,Physiology and Pharmacology ,,Professor Emeritus ,,Schulich
"Kent,Robert ","BS, Ph.D. UBC ",Business - Associate Dean ,,Adjunct Research Professor ,,Ivey
"Kenyon,Cynthia F ",FRCPCan BSc MD at SASKATCHEWAN ,Paediatrics ,,Associate Professor/MD ,,Schulich
"Kerfoot,Karin E ","BS, MD U of Calgary ",Psychiatry ,,Assistant Professor/MD ,,Schulich
"Kerfoot,Steven ","BS, Ph.D. U of Calgary ",Microbiology & Immunology ,,Assistant Professor ,,Schulich
"Kermani,Mehrdad Radji ","BSc, MSc Iran; Ph.D. London; ",Electrical & Computer ,,Associate Professor ,,Engineering
"Kernaghan,Gillian A ","MD, CCFP, FCFP Western ",Nursing ,Family Medicine - General ,Assistant Professor ,,Health Sciences
"Keron,James R ",BA U of Waterloo; MART Western ,Anthropology ,,Lecturer ,,Social Science
"Kerr,Don Wayne ","BA Quebec, Ph.D. Ontario ",Sociology ,,Adjunct Research Professor ,,Social Science
"Kerr,Michael A. ",BSc Waterloo; Ph.D. Hawaii; ,Chemistry ,,Professor ,,Science
"Kerr,Michael S ","BSc Trent; MSc, Ph.D. Toronto; ",Nursing ,,Assistant Professor ,,Health Sciences
"Kerr,Paul Anthony ",FRCP BSc MD at SASKATCHEWAN ,Paediatrics/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Kertesz,Andrew ",FRCPCan FRCP MDCM at Queen's ; BSc at TORONTO ,Clinical Neurological Science ,,Professor Emeritus ,,Schulich
"Kertoy,Marilyn K ",BA Ohio State; MA Western Michigan; Ph.D. Wisconsin; ,Communicative Sci & Disorders ,,Associate Professor ,,Health Sciences
"Keshmirian,Jay ",BSc at CONCORDIA ; Ph.D. at Queen's ; MD CCFP at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Keyes,Gary W ","DDS, MClD Toronto ",Graduate Orthodontics ,,Adjunct Clinical Professor ,,Schulich
"Keyghobadi,Nusha ",BSc Toronto; Ph.D. Alberta ,Biology ,,Associate Professor ,,Science
"Khalaff,Hussein ",BSMD Cairo ,Surgery/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Khalaji,Iman ","MSc., Iran Univ of Science and Technology ",Mechanical & Materials ,,Lecturer ,,Engineering
"Khalil,Arshad K ",MD ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Khalil,Wahid M ",BSc London; Ph.D. Memorial ,Department of Medicine ,,Professor Emeritus ,,Schulich
"Khalkhali,Masoud ",BSc Sharif(Tehran); Ph.D. Dalhousie; ,Mathematics ,,Professor ,,Science
"Khan,Mustaq ",BSc at TORONTO ; MA Ph.D. at Western ,Psychology ,Psychiatry ,Assistant Professor ,,Social Science
"Khan,Saima Waheed ","MD, Ziauddin Univ, PAK ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Khan,Sohail Munawar Khan ","BA Pakistan, MA U of Regina ",Statistics & Actuarial Science ,,Lecturer ,,Science
"Khan,Zia Ali ",BS at DALHOUSIE ; Ph.D. at Western ,Pathology ,,Assistant Professor ,,Schulich
"Khanna,Nitin V ",FRCPCan BSc at DALHOUSIE ; MD at MEMORIAL ,Department of Medicine/Schulich - Education Office ,,Associate Professor/MD ,,Schulich
"Kharrat,Yahya ","BA Syrian Arab Republic, Ph.D. USA ",Modern Languages & Literatures ,,Lecturer ,,Arts & Humanities
"Kharytonava,Volha ","BA, Minsk State Ling Univ, Belarus; MART, Western ",French Studies ,,Assistant Professor ,,Arts & Humanities
"Khayat,Roger E ","BA Quebec, Ph.D. McGill ",Applied Mathematics ,Mechanical & Materials ,Professor ,,Science
"Khimji,Mohamed F ","LLB U of Bristol NS, LLM London School of Economic ",Law - Office of the Dean ,,Associate Professor ,,Law
"Khokhotva,Vladislav ",BS York; MD Univ of Torontooronto ,Surgery/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Kholdi,Shahram ","LLB Azad Islamic Univ, IRN; Ph.D. Univ of Manchester ",History ,,Assistant Professor ,,Social Science
"Khorshed,Khaled ","BDS, Univ of Alexandria, EGY; DMD, Univ of Manitoba ",Dentistry ,,Adjunct Clinical Professor ,,Schulich
"Khorshid,Mohamad ",DDS Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Kiaii,Bob Babak ",BSc at UBC ; MD at Western ,Surgery ,,Associate Professor/MD ,,Schulich
"Kidd,Arthur D ",MD at Queen's ; BSc at WINDSOR ,Department of Medicine/Schulich - Education Office/Schulich ,,Adjunct/MD ,Assistant Director ,Schulich
"Kidd,R.Garth ","BSc, MSc Manitoba; Ph.D. London; ",Chemistry ,,Professor Emeritus ,,Science
"Kidder,Gerald M ",BA at HIRAM ; Ph.D. at YALE ,Physiology and Pharmacology ,,Adjunct Professor/Professor Emeritus ,,Schulich
"Kidnie,Margaret Jane ","BA Toronto; MA, Ph.D. The Shakespeare Institute; ",English ,,Professor ,,Arts & Humanities
"Kiernan,John ",BSc MBChB Ph.D. DSc at BIRMINGHAM ; MA at CAMBRIDGE ,Anatomy & Cell Biology ,,Professor Emeritus ,,Schulich
"Kilgar,Jennifer L ",MD MD at DALHOUSIE ; FRCPCan at MCMASTER ,Paediatrics ,,Assistant Professor/MD ,,Schulich
"Killinger,Donald W ","MD, MSc; Ph.D. McGill; FRCPCan ",Department of Medicine ,,Professor Emeritus ,,Schulich
"Killorn,Erin E ",FRCPCan BSc at ACADIA ; MD at DALHOUSIE ,Department of Medicine/Paediatrics ,,Assistant Professor/MD ,,Schulich
"Kim,David ",MD Western ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Kim,George Paul ",CCFP MD at Western ,Family Medicine - General/Primary Care/Schulich - Education ,,Assistant Professor/MD ,Program Director/Course Coordinator ,Schulich
"Kim,Harold Leeyonge ",MD at Western ,Department of Medicine ,,Adjunct/MD ,,Schulich
"Kim,Kyunghee ","BA, Kon-Kuk Univ, PRK; MART Western ",Modern Languages & Literatures ,,Lecturer ,,Arts & Humanities
"Kim,Richard B ",Bachelors Saskatchewan; Professional Ontario ,Physiology and Pharmacology/Oncology/Department of Med ,,Professor ,,Schulich
"Kim,Sung O ",Ph.D. at UBC ,Microbiology & Immunology ,,Associate Professor ,,Schulich
"Kim,Yoon Hee ",BA Sungkyunkwan U Korea; Ph.D. U of Wisconsin ,Business - Associate Dean ,Obstetrics & Gynaecology ,Assistant Professor ,,Ivey
"Kimpinski,Kurt ",BS U of PEI; MD Dalhousie Univ NV ,Clinical Neurological Science ,,Assistant Professor/MD ,,Schulich
"King,Gillian Alison ","BA U of Waterloo, Ph.D. Western ",Nursing ,Psychology ,Adjunct Associate Professor ,,Health Sciences
"King,Graham J ",FRCSCan MSc at CALGARY ; BSc MD at UBC ,Medical Biophysics/Surgery ,,Professor ,,Schulich
"King,H James ",FRCSCan BA MD at Western ,Obstetrics & Gynaecology ,,Professor Emeritus ,,Schulich
"King,James F ","BSc, Ph.D. New Brunswick; ",Chemistry ,,Professor Emeritus ,,Science
"King,James R ",,Physical Therapy ,,Assistant Professor ,,Health Sciences
"King,Michael Robert ",BACS Queen's; Ph.D. London School of Economic GBR ,Business - Associate Dean ,,Associate Professor ,,Ivey
"King,Peter C ",BA Western ,Civil & Environmental ,,Adjunct Research Professor ,,Engineering
"King,Philip T ",BA/MA Ontario ,Law - Office of the Dean ,Bachelor of Mgmt & Org Studies ,Lecturer ,,Law
"King,Rebecca ","BS, MD Memorial Univ, NL ",Psychiatry ,,Assistant Professor/MD ,,Schulich
"King,Rhonda Louise ",BA Ontario ,Education - Preservice Office ,,Lecturer ,,Education
"King,Roger H ",BSc Wales; MSc Aberdeen; Ph.D. Saskatchewan; ,Geography ,,Professor Emeritus ,,Social Science
"Kingsbury,Brett ",BMUS UBC ,Music - Performance Studies ,,Assistant Professor ,,Music
"Kinsella,Elizabeth Anne ","BSc(OT) Toronto, MA Ed. St. Fx; Ph.D.. ",Womens' Studies ,Occupational Therapy ,Associate Professor ,,Arts & Humanities
"Kintanar,Carmelita ",MD at CEBU ,Paediatrics ,,Adjunct/MD ,,Schulich
"Kinton,Leslie ","BA, MA Univ of Toronto ",Music - Office of the Dean ,,Assistant Professor ,,Music
"Kirby,Joanne ",MD CCFP FRCSCan at TORONTO ,Obstetrics & Gynaecology ,,Assistant Professor/MD ,,Schulich
"Kiriushcheva,Natalia ","Masters, UKR ",Applied Mathematics ,,Assistant Professor ,,Science
"Kirk,Mary Ellen ",MD Western; FRCP ,Pathology ,,Professor Emerita ,,Schulich
"Kirkpatrick,Lori ","BSc., Univ of Toronto; M.Ed., Western; Ph.D., Western ",Education - Preservice Office ,,Lecturer ,,Education
"Kirkwood,Kenneth William ","BAH, MA Queen's; Ph.D. Western; P. Eng. ",School of Health Studies ,,Assistant Professor ,,Health Studies
"Kirsh,David Robert ","BS, MS, Queen's Univ ",Physics and Astronomy ,,Lecturer ,,Science
"Kizilbash,Kamran ",MBBS U of Karachi Pakistan ,Psychiatry ,,Assistant Professor/MD ,,Schulich
"Klar,Neil Steven ",BSc MSc at MCGILL ; Ph.D. at Western ; MMath at WATERLOO ,Epidemiology and Biostatistics ,,Associate Professor ,,Schulich
"Klassen,Neil ","BFA, Ontario College of Art & Design; MFA, Western ",Visual Arts ,,Lecturer ,,Arts & Humanities
"Klassen,Robert David ",BA Waterloo; MBA Western; Ph.D. N. Carolina; ,Business - Associate Dean ,Program in Environmental Sci ,Professor ,,Ivey
"Klassen,Robert Jay ","BSc, MSc Manitoba; Ph.D. Toronto; P.Eng. ",Mechanical & Materials ,,Associate Professor ,Associate Chair ,Engineering
"Klein,George J ",FRCPCan MD at TORONTO ,Department of Medicine ,,Professor/MD ,,Schulich
"Klein,Klara Pearl ",CCFP MD at TORONTO ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Klein,Perry D ","BEd, BSc, Ph.D. Toronto; MA York; ",Education - Office of the Dean ,,Associate Professor ,,Education
"Kligman,David H. ",Professiona; Bacehlors Canada ,Psychiatry ,,Adjunct/MD ,,Schulich
"Klimchuk,Dennis ","BA, MA Manitoba; Ph.D. Toronto; ",Philosophy ,,Associate Professor ,,Arts & Humanities
"Kline,Robert L ",BS Temple; Ph.D. Pittsburgh ,Physiology and Pharmacology ,,Professor Emeritus ,,Schulich
"Klinger,Lea Elisabeth ","BSc(OT), MSc ; ",Occupational Therapy ,,Lecturer ,,Health Sciences
"Kloseck,Marita Hedwig ",BAA Central Michigan; MSc Oklahoma State U; Ph.D. Waterloo; ,School of Health Studies ,Department of Medicine ,Associate Professor ,School Director ,Health Studies
"Knabe,Susan M. ","BSc Laurier; BA, MA Trent; Ph.D. Macquarie; ",Info & Media Studies - General ,Womens' Studies ,Assistant Professor ,,Information & Media Studies
"Kneale,Douglas ",Ph.D. Univ of Torontooronto ,English ,,Professor Emeritus ,,Arts & Humanities
"Knelman,Judith ","BA Manitoba, Ph.D. Ontario ",Info & Media Studies - General ,,Professor Emerita ,,Information & Media Studies
"Knight,John ","BComm, MComm, Ph.D. New South Wales; ",Economics ,,Professor ,,Social Science
"Knight,Russell M. ","BA Quebec, Ph.D. USA ",Business - Associate Dean ,,Professor Emeritus ,,Ivey
"Knoch,Christopher J ","Bachelors, ON ",Education - Continuing Educ ,,Lecturer ,,Education
"Knoll,Joan Helen Mary ","BS, Ph.D., Western ",Pathology ,,Professor ,,Schulich
"Knopf,George K ","BA, BEng, MSc, Ph.D. Saskatchewan; P.Eng. ",Mechanical & Materials ,,Professor ,,Engineering
"Knoppert,David Cornelius ",BEd MSc at TORONTO ; BS at Western ,Department of Medicine/Paediatrics ,,Adjunct Assistant Professor ,,Schulich
"Ko,Christina Mo King ",Masters Western ,Nursing ,,Lecturer ,,Health Sciences
"Kocha,Walter Ilarion ","BSc, MD Western ",Oncology ,,Assistant Professor/MD ,,Schulich
"Kogon,Stanley L ",DDS Toronto; MSc ,Dentistry ,,Professor ,,Schulich
"Kohalmi,Susanne E. ",DIPLOM J.-W. Goethe; Ph.D. Manitoba; ,Biology ,,Associate Professor ,,Science
"Kohler,Stefan ",DIPLOM Universitat Bielefeld; Ph.D. Toronto; ,Psychology ,,Associate Professor ,,Social Science
"Kohr,Rosemary ","BA, MA Ontario, Doctoral Degree U of Alberta ",Nursing ,,Associate Professor ,,Health Sciences
"Kohut-Gowan,Laura Katherine ","BSN, Western, RN Lambton College ",Nursing ,,Lecturer ,,Health Sciences
"Koka,Hanumantha R ",FRCPCan MBBS at GULBARGA ,Psychiatry - Ext Camp Program ,,Assistant Prof/Clinical MD ,,Schulich
"Kolahdouz Esfahani,Soheila ","BA, Univ of Waterloo; MFA, Western ",Visual Arts ,,Lecturer ,,Arts & Humanities
"Kolano,Lori Lynette ",MD at Western ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Kolator,Dave Peter ","BSc, DDS ",Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Kolbasnik,Alex ",BSc MSc MD at MCMASTER ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Kolkman,Wilbert ","MLS, Ph.D. Univ of Groningen, NLD ",Law - Office of the Dean ,,Professor ,,Law
"Komer,William Joseph ",FRCPCan MD at Western ; BMath at WATERLOO ,Psychiatry ,,Assistant Professor/MD ,,Schulich
"Komorowski,Laurie A ",BSc King's Univ College AB; MD U of Alberta ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Konermann,Lars ","BSc, MSc Tubingen; Ph.D. Dusseldorf; ",Chemistry ,Biochemistry ,Professor ,,Science
"Konrad,Alison M ","BA Monmouth College; MA, Ph.D. Claremont Graduate School; ",Business - Associate Dean ,,Professor ,,Ivey
"Koo,Karen Kin-Yue ",BS Univ of Torontooronto; MD McMaster U ,Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Koopman,Wilma Johanna ","BA, Ph.D. Ontario ",Nursing ,,Lecturer ,,Health Sciences
"Kopechanski,Lauren Astrid ","BHS, McMaster Univ; MD, Western ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Kopp,Gregory A ",BSc Manitoba; MSc McMaster; Ph.D. Toronto; P.Eng. ,Civil & Environmental ,,Professor ,,Engineering
"Kopp,Steven James ","BA, MA Western ",Statistics & Actuarial Science ,,Lecturer ,,Science
"Koppula,Suhda ","BS, MD U of Alberta ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Koprowski,Peter ","ARTIST'S DIPLOMA State Academy of Music, Lodz; DMUS Toronto; MA Krakow; ",Music - Office of the Dean ,,Professor ,,Music
"Koren,Gideon ",MD at TEL-AVIV ,Department of Medicine/Paediatrics/Physiology and Pharma ,,cProfessor/MD ,,Schulich
"Kornecki,Alik ",MD at MILANO ,Paediatrics ,,Associate Professor/MD ,,Schulich
"Kornecki,Anat ",MD at TEL-AVIV ,Department of Medical Imaging ,,Associate Professor/MD ,,Schulich
"Koropatnick,D James ",BSc MSc Ph.D. at UBC ,Microbiology & Immunology/Oncology/Pathology/Physiology ,,Professor ,,Schulich
"Kortas,Claude ",FRCPCan MD at IULIU HATIEG ,Department of Medicine ,,Professor/MD ,,Schulich
"Koscinski,Daria ","BS, MS Queen's Univ; Ph.D. Western ",Biology ,,Assistant Professor ,,Science
"Kossovskiy,Ilya ",Masters Ukraine ,Mathematics ,,Assistant Professor ,,Science
"Kostal,Rande W ",LLB Western; OF THE LAW SOCIETY OF UPPER CANADA ; MA McMaster; Ph.D. Oxford; ,Law - Office of the Dean ,Business - Associate Dean ,Professor ,,Law
"Kostuk,William J ",MD; FRCPCan ,Department of Medicine ,,Professor Emeritus ,,Schulich
"Kothari,Anita ","BSc, MHSc Toronto; Ph.D. McMaster; ",School of Health Studies ,Epidemiology and Biostatistics ,Associate Professor ,,Health Studies
"Kotin,Svetlana ","MD State Medical Univ., BLR ",Psychiatry ,,Assistant Professor/MD ,,Schulich
"Kotsopoulos,Donna ",BA Ontario ,Education - Office of the Dean ,,Adjunct Research Professor ,,Education
"Kovacs,John Michael ","BSc Queen's, Ph.D. Western ",Geography ,,Adjunct Research Professor ,,Social Science
"Kovacs,Michael Joseph ",FRCPCan MD at Western ,Department of Medicine/oncology ,,Professor/MD ,,Schulich
"Kovacs,Michael S ",BSc at MCMASTER ; Ph.D. at UBC ,Department of Medical Imaging/Medical Biophysics ,,Assistant Professor ,,Schulich
"Kovacs,Paul Julias Egerally ","BA, MART Western ",Economics ,,Adjunct Research Professor ,,Social Science
"Koval,John Joseph ",MPhil at IMPERIAL COL ; Ph.D. at Western ; BMath MMath at WATERLOO ,Epidemiology and Biostatistics ,,Professor ,,Schulich
"Koval,Susan F ",Ph.D. at LONDON ; MSc at Western ; BSc at WATERLOO ,Microbiology & Immunology ,,Associate Professor ,,Schulich
"Kowalchuk,John M ","BSc, MSc Waterloo; Ph.D. McMaster; ",Kinesiology - General ,Physiology and Pharmacology ,Professor ,,Health Sciences
"Kozak,Roman Iwan ",FRCPCan MB MBBS at LONDON ,Diagnost Radiol & Nuclear Med ,,Associate Professor/MD ,,Schulich
"Koziol,Natasha ",BSc Western; Ph.D. Erasmus NLD ,Info & Media Studies - General ,,Assistant Professor ,,Information & Media Studies
"Kraatz,Heinz-Bernhard ","BSc U Dusseldorf Germany, Ph.D. U of Calgary ",Chemistry ,,Adjunct Research Professor ,,Science
"Krahn,Andrew D ",FRCPCan FRCPCan MD at MANITOBA ,Department of Medicine ,,Adjunct Research Professor ,,Schulich
"Krahn,Mary-Anne ","BSN, MSN, Western ",Nursing ,,Adjunct Assistant Professor ,,Health Sciences
"Krajnyk,Irene Sandy ","BA Quebec, MA Western ",Biology ,,Lecturer ,,Science
"Kramer,John F ",BSc(PT) Guelph; MA(PT) Stanford; Ph.D. Alberta; ,Physical Therapy ,,Professor Emeritus ,,Health Sciences
"Kras-Dupuis,Anna ","BSN, MSN Western ",Nursing ,,Adjunct Assistant Professor ,,Health Sciences
"Krasinski,Joasia A ",BSN Queen's Univ ,Nursing ,,Lecturer ,,Health Sciences
"Krats,Peter Vaino Karl ","BA Guelph; MA, Ph.D. Western ",History ,,Assistant Professor ,,Social Science
"Krause-Wiebe,Anita ",BMus SCal; MMus Wheaton ,Music - Performance Studies ,,Lecturer ,,Music
"Kreiswirth,Martin ",BA Ham Coll; MA Chicago; Ph.D. Toronto; ,English ,,Professor Emeritus ,,Arts & Humanities
"Kremenchutzky,Marcelo Carlos ",MD at BUENOS AIRES ,Clinical Neurological Science ,,Associate Professor/MD ,,Schulich
"Krepski,Derek ",Ph.D. Univ of Toronto ,Mathematics ,,Assistant Professor ,,Science
"Kreyman,Konstantin ","Masters, Ph.D. Russia ",Electrical & Computer ,,Lecturer ,,Engineering
"Kribs,Stewart Wayne ",FRCPCan MD at Western ,Diagnost Radiol & Nuclear Med/Surgery ,,Associate Professor/MD ,,Schulich
"Krigolson,Olave ","BEd., Ph.D., Univ of Victoria ",Kinesiology-Office of Director ,,Adjunct Assistant Professor ,,Health Sciences
"Krishna,Popuri M ",MBBS at KURNOOL ,Psychiatry - Ext Camp Program ,,Adjunct/MD ,,Schulich
"Krishna,Priti ","Degree India, Ph.D. U of Calgary ",Biology ,,Professor ,,Science
"Krishnamoorthy,Srinivas ","B. Tech, MBA, Indian; M. Phil, Ph.D., Columbia; ",Business - Associate Dean ,,Assistant Professor ,,Ivey
"Krougly,Zinovi ",Bachelors Belarus; Ph.D. Russian Federation ,Applied Mathematics/Statistics & Actuarial Sci ,,Assistant Professor ,Dean ,Science
"Krouskos,Kendrah Michelle ","Masters, Ph.D. Russia ",Nursing ,,Lecturer ,,Health Sciences
"Krunic,Tanja ",BSN Western ,Nursing ,,Lecturer ,,Health Sciences
"Krupka,Richard ","Bachelors, Ph.D. Canada ",Biochemistry ,,Lecturer ,,Schulich
"Kubica,Robert ","BMUS, MMUS ; ",Music - Performance Studies/Music - Education ,,Lecturer ,,Music
"Kuboki,Takashi ","BS Meiji Univ, JPN; Ph.D. Kyushu Univ, Fukuoka, JPN ",Mechanical & Materials ,,Assistant Professor ,,Engineering
"Kucerovsky,Zdenek ","BA, Ph.D. Czech Republic ",Electrical & Computer ,,Adjunct Research Professor/Professor Emeritus ,,Engineering
"Kudar,Randolph Parris ","BEng(Chem) RMC; CMA Ontario; MBA, Ph.D. Western; ",Business - Associate Dean ,,Professor Emeritus ,,Ivey
"Kuiper,Nicholas Ahlrich ","BA ; MSc, Ph.D. Calgary; ",Psychology ,,Professor ,,Social Science
"Kulkarni,Swati ",MBBS Gandhi Medical College IND ,Oncology/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Kulon,Sandra Brooke ",MSC Western ,Geography ,,Lecturer ,,Social Science
"Kulperger,Reginald J ",Ph.D. Carleton ,Statistics & Actuarial Science ,,Professor ,,Science
"Kumar,Rajender ",BSc at DELHI ; MBBS at POONA ,Psychiatry - Ext Camp Program ,,Assistant Prof/Clinical MD ,,Schulich
"Kunsch,David William ",MSC Western ,Business - Associate Dean ,,Lecturer ,,Ivey
"Kuppers,Bryan Ulrich ","BS, Western ",Graduate Orthodontics ,,Adjunct Clinical Professor ,,Schulich
"Kurepin,Leonid ","BSc., Tel-Aviv Univ; Ph.D. univ of Calgary ",Biology ,,Assistant Professor ,,Science
"Kurita,Janice Amy ","BS, Univ of Toronto; Ph.D., Univ of Alberta ",Education - Graduate Education ,,Assistant Professor ,,Education
"Kurowski,Pawel M. ","MSc, Ph.D. Warsaw; P.Eng. ",Mechanical & Materials ,,Assistant Professor ,,Engineering
"Kuruvilla,Sara ","MBBS, Medical College of Trivandrum, IND ",Oncology ,,Assistant Professor/MD ,,Schulich
"Kutt,Judith L ",FRCPCan MD at Western ,Anesthesia-Perioperative Med ,,Professor Emerita ,,Schulich
"Kwan,Keith ",MD at ALBERTA ; FRCPath at Queen's ,Pathology ,,Associate Professor/MD ,,Schulich
"Kyle,Peter Gerald ",DDS at Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Kymlicka,Bohuslav ","BA British Columbia; MA, Ph.D. Columbia; ",Political Science ,,Professor Emeritus ,,Social Science
"La Porta,John ","Professional OACCPP, CHE Windsor and Walden Univ ",Education - Office of the Dean ,Communicative Sci & Disorders ,Adjunct Assistant Professor ,,Education
"La Rose,Louise Anne-Marie ",BA at MCGILL ; Ph.D. at Western ,Psychology ,Psychiatry ,Adjunct Clinical Professor ,,Social Science
"La Rose,Marianne ","Bachelors, Masters, ON ",Education - Continuing Educ ,,Lecturer ,,Education
"La Rose,Robert Alexander ","BA, EDD, MA Toronto; ",Kinesiology - General ,,Assistant Professor ,,Health Sciences
"LaBranche,Rachelle S ",BA MD at CALGARY ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Lacefield,James C. ","BSE, Ph.D., Duke; P.Eng. ",Medical Biophysics ,Electrical & Computer ,Associate Professor ,,Schulich
"Lacerte,Michel ",Professional Canada ,Physical Medicine and Rehab ,,Associate Professor/MD ,,Schulich
"Lachance,Marc-Andre ","BA, BSc Montreal; MSc McGill; Ph.D. California; The University of Western Ontario Excellence in Teaching Award (1987) ; ",Biology ,,Professor ,,Science
"Lackenbauer,Sandra ","BA, Univ of Waterloo; MA, Western; Ph.D., Western ",Psychology ,,Lecturer ,,Social Science
"Lacombe,Gabriel ",DDS DDS at MONTREAL ; MSc MSc at TORONTO ,Dentistry ,,Assistant Professor ,,Schulich
"Lacroix,Tom ",MD at MCGILL ,Paediatrics/Schulich - Education Office ,,Assistant Professor/MD ,,Schulich
"Ladak,Hanif M. ","BASC, Toronto; MEng, Ph.D., McGill; P.Eng. ",Electrical & Computer ,Otolaryngology/Medical Biophysics ,Associate Professor ,,Engineering
"Laforet-Fliesser,Yvette ",MA Ontario ,Nursing ,,Associate Professor ,,Health Sciences
"Lagerlund,Henrik ","BA, MA, Ph.D. Uppsala; ",Philosophy ,,Associate Professor ,Department Chair ,Arts & Humanities
"Lagugne-Labarthet,Francois ","BSc Bordeaux France, Ph.D. Bordeaux France ",Chemistry/Physics and Astronomy/Nanofabric ,,Associate Professor ,,Science
"Lai,Xiulan ","BS, Inner Mongolia Univ, CHN; MS U of Science and Tech, CHN ",Applied Mathematics ,,Lecturer ,,Science
"Laidlaw,D George ","BMUS, MMU, Western ",Music - Performance Studies/Music - Education ,,Lecturer ,,Music
"Laidlaw,Karen Anne ","BMus, BEd; ",Nursing ,,Lecturer ,,Health Sciences
"Laidler,David Ernest William ",BSc London; MA Syracuse; Ph.D. Chicago; FRSC ; ,Economics ,,Professor Emeritus ,,Social Science
"Lail,Harbinder (Bob) ",DDS at Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Laine,Colin ",EDD British Columbia; LCP(EDUC) College of Praeceptors (London); MA Simon Fraser ,Education - Office of the Dean ,,Professor Emeritus ,,Education
"Laird,Dale W ",MSc Ph.D. at UBC ,Anatomy & Cell Biology/Physiology and Pharmacology ,,Professor ,,Schulich
"Lajoie,Gilles ",Ph.D. at MCGILL ; BA BSc at SHERBROOKE ,Paediatrics/Biochemistry ,,Professor ,,Schulich
"Lake,Robert ",DDS DDS at MONTREAL ; MSc MSc at TORONTO ,Womens' Studies ,,Assistant Professor ,,Arts & Humanities
"Lala,Peeyush K ","Ph.D., MD, MBBS, U of Calcutta INDIA ",Anatomy & Cell Biology/Oncology ,,Professor Emeritus ,,Schulich
"Lamarche,Jacques ","BA, MA, Ph.D. UQUAM; ",French Studies ,,Associate Professor ,,Arts & Humanities
"Lamari,David N. ","BA Vermont, MA Illinois ",Classical Studies ,,Lecturer ,,Arts & Humanities
"Lamb,Michael John ","LLB, OF THE LAW SOCIETY OF UPPER CANADA ; ",Law - Office of the Dean ,,Lecturer ,,Law
"Lamberts,Bridget Evelyn ",MS UBC; DDS Univ of Torontooronto ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Lamesse,Anne Alice ","BSN, Newcastle, AUS ",Nursing ,,Adjunct Assistant Professor ,,Health Sciences
"Lamoure,Joel W. ",BS (Pharmacy) Univ of Toronto ,Psychiatry ,,Adjunct Associate Professor ,,Schulich
"Lampe,Howard Brandon ",FRCSCan MD at Western ,Otolaryngology ,,Professor Emeritus ,,Schulich
"Lampe,Kathleen Mary Dundon ",FRCPCan MD at Western ,Anesthesia-Perioperative Med ,,Professor Emeritus ,,Schulich
"Landis,Mark Stanley ","BS, McMaster Univ; MD Univ of Toronto ",Department of Medical Imaging ,,Assistant Professor/MD ,,Schulich
"Landry,Tamara Marjorie May ","BA, Western; MHS Univ of Windsor ",School of Health Studies ,,Lecturer ,,Health Studies
"Landstreet,John D ",Ph.D. Columbia USA ,Physics and Astronomy ,,Adjunct Research Professor/Professor Emeritus ,,Science
"Lane,Henry William ",BA/Ph.D. USA ,Business - Associate Dean ,,Professor Emeritus ,,Ivey
"Lanfranconi,Claude Peter ","BA Quebec, Ph.D. Ontario ",Business - Associate Dean ,,Professor Emeritus ,,Ivey
"Langan,Lawrence Gerard ",BA Western; MFA Concordia; ,Education - Continuing Educ ,,Lecturer ,,Education
"Langer,Pearl S ",MD MD at CALGARY ; BS at MCGILL ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Langford,Sarah Elizabeth ",BA Western ,Kinesiology-Office of Director ,,Lecturer ,,Health Sciences
"Lanius,Ruth ",BSc Ph.D. MD at UBC ; FRCP at Western ,Psychiatry ,,Professor/MD ,,Schulich
"Lannigan,Robert ",FRCPCan FRCP MDCM at MCGILL ,Pathology ,,Professor/MD ,,Schulich
