Name,Degrees,Department,Department2,Rank,AdministrativePosition,Faculty
"Albrecht,Craig Wallace ",MD at Western ; BS at WATERLOO ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Alcock,Greg Kenneth ","BA, MSc ; ",Kinesiology-Office of Director ,,Lecturer ,,Health Sciences
"Alder,Robert John ",BS McMaster; Ph.D. Univ of Torontooronto ,Epidemiology and Biostatistics/Schulich - Office Global Health ,,Adjunct Associate Professor ,Associate Director ,Schulich
"Aldis,Joan Leslie ","BA, Med Western ",Education - Graduate Education ,,Lecturer ,,Education
"Aldrich,Ralph F. ","BMUS Victoria(NZ); LGSM, LRSM London; ",Music - Office of the Dean ,,Professor Emeritus ,,Music
"Alessi,Charles ","LRCP MRCS, St. George Hospital Med, UK ",Business - Associate Dean ,,Adjunct Research Professor ,,Ivey
"Ali,Asim ",BS Queen's Univ; MD Western ,Political Science ,,Lecturer ,,Social Science
"Alkhasawneh,Morad ","DDS, Dalhousie Univ ",Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Allahar,Anton L ","BA, MA, Ph.D. Toronto; THE UNIVERSITY OF WESTERN ONTARIO EXCELLENCE IN TEACHING AWARD (1988) ; ",Sociology ,,Professor ,,Social Science
"Allain,Suzanne ",FRCPCan MD at TORONTO ,Psychiatry - Ext Camp Program ,,Adjunct/MD ,,Schulich
"Allan,Alison ",BSc Ph.D. at GUELPH ,Anatomy & Cell Biology/Oncology ,,Associate Professor ,,Schulich
"Allen,Andrea Stevenson ",BA Rochester; MA Chicago; MBA York(Can); Ph.D. Wayne State; ,Womens' Studies ,,Assistant Professor ,,Arts & Humanities
"Allen,Charlotte ",BA Freiburg; MA Lowa; MA Ohio; Ph.D. Cologne ,Nursing ,,Lecturer ,,Health Sciences
"Allen,Larry Hugh ",FRCSCan MD at RCP IRELAND ; BA at Western ,Ophthalmology ,,Associate Professor/MD ,Program Director ,Schulich
"Allen,Natalie Jean ",BA Mt Allison; MA Dalhousie; Ph.D. ; ,Psychology ,,Professor ,,Social Science
"Allen,Prudence ",BSED ; MA Buffalo; Ph.D. Wisconsin; ,Communicative Sci & Disorders/National Centre for Audiology ,,Associate Professor ,,Health Sciences
"Allen,Teri ","BA,MSW Laurier ",Family Medicine - General ,,Lecturer ,,Schulich
"Allevato,Pat A ",MD at TORONTO ; BS at WINDSOR ,Schulich - Education Office/Pathology ,,Adjunct/MD ,,Schulich
"Allison,Derek J ","BEd, MEd, Ph.D. Alberta ",Education - Office of the Dean ,,Associate Professor ,,Education
"Allman,Brian Leonard ",BS Western; Ph.D. Western ,Anatomy & Cell Biology ,National Centre for Audiology ,Assistant Professor ,,Schulich
"Allnatt,Alan R ","BSc, Ph.D. London; ",Chemistry ,,Professor Emeritus ,,Science
"Almond,Richard George ",MD at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Alsaden,Mohamed R ",FRCPCan MBChB at BAGHDAD ,Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"AlShahrouri,Huda ","BSc U of Baghdad Iraq, DDS Western ",Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Altahan,M Walid ","BA Syrian Arab Republic, MA Ontario ",Mechanical & Materials ,,Lecturer ,,Engineering
"Altamirano-Diaz,Luis ","MBBS U Mayor de San Simon, BOL ",Paediatrics ,,Assistant Professor/MD ,,Schulich
"Altenhof,William ",BS U of Windsor; Ph.D. U of Windsor ,Mechanical & Materials ,,Adjunct Research Professor ,,Engineering
"Amann,Justin Hugo ",BASc MASc at TORONTO ; MD at Western ,Department of Medical Imaging ,,Associate Professor/MD ,Program Director ,Schulich
"Amornsang,Wasan ","CERT. MAXILLOFACIAL PROSTHETICS New Orleans, Louisiana; CERT. MAXILLOFACIAL PROSTHODONTICS Pittsburh, Pennsylvania; CERT. PROSTHODONTICS MS Houston, Texas; DDS Bangkok, Thailand; MSc London; ",Dentistry ,,Assistant Professor ,,Schulich
"Anand,Sondekere K ",DA at BANGALORE ; MBBS at KARNATAK ,Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Andersen,Jennifer Else Fischer ","BS, Univ of Toronto; MED, Western ",Education - Office of the Dean ,,Lecturer ,,Education
"Anderson,Alexander R. ",BA Toronto; Ph.D. Brown; ,Modern Languages & Literatures ,,Professor Emeritus ,,Arts & Humanities
"Anderson,Brian ",BS U of Colorado; Ph.D. Indiana Univ ,Business - Associate Dean ,,Assistant Professor ,,Ivey
"Anderson,Cameron D ",BA Alberta; MSc LSE; Ph.D. McGill ,Political Science ,,Associate Professor ,,Social Science
"Anderson,Ian ",FRCPCan AB MBChB at ABERDEEN ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,Program Director ,Schulich
"Anderson,Karen ","BSc., Western; MSc., Western; Bach Ed., Western ",Nursing /Health & Rehab Sciences Prgm ,,Lecturer ,,Health Sciences
"Anderson,Mariela Ines ","DDS, MCD Western ",Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Anderson,Mark ","BS, USA; Ph.D. USA ",Chemical &Biochem Engineering ,,Adjunct Research Professor ,,Engineering
"Anderson,Scott Bruce ",FRCP MD at Western ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Andress,Claudette Marie ",BA U of Windsor; BED U of Windsor ,Education - Preservice Office ,,Lecturer ,,Education
"Andrews,James H ","BSc, MSc British Columbia; Ph.D. Edinburgh; ",Computer Science ,,Associate Professor ,,Science
"Andrusyszyn,Mary-Anne ","BScN McGill; MScN, RegN ; Ph.D. Toronto; ",Nursing ,,Professor ,School Director ,Health Sciences
"Ang,Lee-Cyn ",FRCPath MBBS at SINGAPORE ; FRCPCan at Western ,Pathology ,,Professor/MD ,Program Director ,Schulich
"Angeles,M.Carmen ","BS U of Philippines, PHL: MD U of Philippines, PHL ",Anesthesia-Perioperative Med ,,Adjunct/MD ,,Schulich
"Ankney,C Davison ",BSc Michigan; Ph.D. ; ,Biology ,,Professor Emeritus ,,Science
"Annen,Albert A. ",CCFP FCFPC BA MD at Western ,Family Medicine - General ,,Assistant Professor/MD ,,Schulich
"Annett,Nancy Lorraine ",BA U of Guelph; MBA Western ,Bachelor of Mgmt & Org Studies ,,Lecturer ,,Social Science
"Annis,Rob ",BS Univ of Toronto; MD Univ of Toronto ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Ansari,Daniel ","BA Univ of Sussex UK, Ph.D. Univ College London UK ",Psychology ,,Associate Professor ,,Social Science
"Ansari,Emily Theodosia Abrams ","BA Durham Univ UK, MA Oxford Univ UK ",Music - Office of the Dean ,,Assistant Professor ,,Music
"Anthony,Susan Elizabeth ","BScN, MScN, RegN ; ",Nursing ,,Assistant Professor ,,Health Sciences
"Antone,Robert ","MART, State Univ of New York ",First Nations Studies Program ,,Lecturer ,,Social Science
"Antonenko,Irene ","Ph.D. Brown Univ, USA ",Earth Sciences ,,Adjunct Research Professor ,,Science
"Antoniou,Andreas ",BS U of Ottawa; MD Univ of Torontooronto ,Anesthesia-Perioperative Med ,,Assistant Professor/MD ,,Schulich
"Aoun,Lawrence ",BS U of Windsor; MD Univ of Torontooronto ,Schulich - Education Office/Family Medicine - General ,,Adjunct/MD ,Assistant Coordinator ,Schulich
"Appavoo,Sam ",BS at GUELPH ; MD at MCMASTER ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,Program Director ,Schulich
"Appelton,Alison ",BS McGill Univ; MD Univ of Toronto ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Appleby,Kaye Marie ",BA U of Guelph; MBA Western ,Education - Continuing Educ ,,Lecturer ,,Education
"Aragon,Cecilia E ",DDS PER ,Dentistry ,,Adjunct Clinical Professor ,,Schulich
"Arango,Miguel ",MD at COLOMBIA ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"Arany,Edith ",Ph.D. U of Buenos Aires Argentina ,Department of Medicine ,,Adjunct Research Professor ,,Schulich
"Archibald,Lisa M.D. ",BSc Brock; M.H.Sc Toronto; Ph.D. Durham UK ,Communicative Sci & Disorders ,Psychology ,Assistant Professor ,,Health Sciences
"Archibald,T Ross ","FCA Ontario, Ph.D. USA ",Business - Associate Dean ,,Professor Emeritus ,,Ivey
"Ardiel,Donald Lorne ",BA Waterloo; MBA Western ,Civil & Environmental ,,Lecturer ,,Engineering
"Arellano,Luis-Ramiro Jose ",MD Western; MS Univ of Toronto ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"Argall,Philip S ","BSC, Ph.D. Adelaide, AUS ",Physics and Astronomy ,,Assistant Professor ,,Science
"Argentino,Joe R. ","Bmus, Univ of Toronto; Ph.D. Western ",Music - Research & Composition ,,Assistant Professor ,,Music
"Ari,Nilgun ","DDS Turkey Tansel College; MS Yditepe Univ, Turkey ",Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Ari,Timucin ","DDS, Ph.D. Marmara U Turkey ",Dentistry ,,Assistant Professor ,,Schulich
"Arku,Godwin ","BA Ghana, MA Univ of Toronto, Ph.D. McMaster ",Geography ,,Assistant Professor ,,Social Science
"Armaly,Violette ","Bachelors, Masters CANADA ",Education - Continuing Educ ,,Lecturer ,,Education
"Armstrong,Christopher Edward ",FRCP MD at OTTAWA ,Pathology ,,Associate Professor/MD ,,Schulich
"Armstrong,David T ","BSA Toronto; MSc, Ph.D. Cornell ",Obstetrics & Gynaecology ,,Professor Emeritus ,,Schulich
"Armstrong,Jerrold E ",BSc Trent; DDS Toronto; MRCD(C) ; MSc Dalhousie; ,Dentistry ,,Associate Professor ,Graduate Chair ,Schulich
"Armstrong,Kevin Paul James ",FRCP MD at DALHOUSIE ; FRCPCan at Western ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"Armstrong,Paidrig ",MD FRCPCan at DALHOUSIE ; BSc at Western ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"Armstrong,Sarah ","BA Hamilton College USA, MD Upstate Medical Univ USA ",Psychiatry ,,Assistant Professor/MD ,,Schulich
"Arnold,Brian ","BA, OF THE LAW SOCIETY OF UPPER CANADA ; JD Harvard; ",Law - Office of the Dean ,,Professor Emeritus ,,Law
"Arnold,Ivor A. ",BA London; MA British Columbia; Ph.D. Toronto; ,French Studies ,,Professor Emeritus ,,Arts & Humanities
"Arnold,J M ",FRCPCan FACP FACC FRCP at EDINBURGH ; FRCP at LONDON ; BSc BAO MBBCh MD at Queen's ,Department of Medicine ,,Professor/MD ,,Schulich
"Arntfield,Michael Andrew ","BA, Western; BA (Honors), Western; MA, Western; Ph.D., Western ",Info & Media Studies - General ,Centre for American Studies ,Assistant Professor ,,Information & Media Studies
"Arntfield,Robert Thomas ","BSc Queen's, MD Western ",Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Arntfield,Shannon ",BS Queen's Univ; MD Western ,Obstetrics & Gynaecology ,,Assistant Professor/MD ,,Schulich
"Arriaga,Eduard Alberto ","MA, Instituto Caro y Cuervo; Ph.D. Western; ",Modern Languages & Literatures ,,Assistant Professor ,,Arts & Humanities
"Arsenault,Gilles ",BS Mount Allison Univ; Ph.D. U of Guelph ,Chemistry ,,Adjunct Research Professor ,,Science
"Arthur,Fred Edward ",MD Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Arya,Neil ",CCFP at MCGILL ; MD at Queen's ; BASc at TORINO ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Aryee,Abednego ",BA GHA; Ph.D. Wilfrid Laurier ,Geography ,,Assistant Professor ,,Social Science
"Asantey,Solomon Ben Akotua ","BSc., Univ of Sci & Tech, Ghana; M.Phil. Univ of Sci & Tech, Ghana; Ph.D., Western; ",Civil & Environmental ,,Assistant Professor ,,Engineering
"Asari,Katayoun ","BA, MA Ohio ",French Studies ,,Lecturer ,,Arts & Humanities
"Asem,Kevin Cash Delali ",BS York Univ; MD U of Ottawa ,Family Medicine - General ,,Assistant Professor/MD ,,Schulich
"Ashbourne,Dan ","Bachelors, Ph.D. Ontario ",Psychology ,,Adjunct Clinical Professor ,,Social Science
"Ashmawy,Ahmed ",MS Cairo Univ Egypt ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Ashmore,Peter E ","BSc Hull; MSc, Ph.D. Alberta; ",Geography ,,Professor ,,Social Science
"Ashok,Dhandapani ","MBBS Madras Univ IND; MD Dr MGR Medical Univ, IND ",Paediatrics ,,Assistant Professor/MD ,,Schulich
"Asokanthan,Samuel F ",BTECH IIT Madras; Ph.D. Waterloo; ,Mechanical & Materials ,,Professor ,,Engineering
"Assaf,Fatima ",BSN Western ,Nursing ,,Lecturer ,,Health Sciences
"Assuras,John William ",MD at Western ,Oncology ,,Adjunct/MD ,,Schulich
"Atance,Felix Roque ",BA Toronto; MA Nebraska; Ph.D. ; ,French Studies ,,Professor Emeritus ,,Arts & Humanities
"Athanassakos,George ","BA Grad. School Industrial Studies of Thessaloniki, Greece; MA, MBA, Ph.D., York; ",Business - Associate Dean ,,Professor ,,Ivey
"Athar,Humera ",MbChB U of Punjab Pakistan ,Psychiatry - Ext Camp Program/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Athwal,George S ",FRCPCan BSc MD MD at UBC ,Surgery ,,Associate Professor/MD ,,Schulich
"Atkinson,Burr G ",BA Ohio; Ph.D. Connecticut; ,Biology ,,Professor Emeritus ,,Science
"Atkinson,Gail Marie ","BS Carleton, Ph.D. Western ",Earth Sciences ,,Professor ,,Science
"Atkinson,Michael L ","BSc Dalhousie; MS, Ph.D. Wisconsin; ",Psychology ,,Associate Professor ,,Social Science
"Atkison,Paul Robert ",FRCPCan Ph.D. MD at CALGARY ; BSc MSc at WATERLOO ,Paediatrics ,,Associate Professor/MD ,,Schulich
"Atoe,Dennis ",MD BSc at WISCONSIN ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Audet,Peter ",BMUS British Columbia; MMUS Northwestern; ,Music - Performance Studies ,,Lecturer ,,Music
"Auksi,Peter ","AM, Ph.D. Harvard; BA, MA Oxon; BA Toronto; ",English ,,Professor Emeritus ,,Arts & Humanities
"Austin,Marion Beverly ","BA, MA Ontario ",Education - Preservice Office ,,Lecturer ,,Education
"Austin,Thomas W ",FRCPCan MD at Western ,Department of Medicine ,,Professor Emeritus ,,Schulich
"Avery,Donald Howard ","BA, BEd, MA Manitoba; Ph.D. ",History ,,Adjunct Research Professor/Professor Emeritus ,,Social Science
"Avison,William R ","BA, MA, Ph.D., Alberta ",Epidemiology and Biostatistics/Paediatrics ,Sociology ,Professor ,,Schulich
"Avotins,Ivars ","BA Toronto; MA, Ph.D. Harvard; ",Classical Studies ,,Professor Emeritus ,,Arts & Humanities
"Awad,Saad ",MD at ALEXANDRIA ,Pathology/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Awde,Murray Gordon ",CCFP at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Awuku,Mark ",MBChB at GHANA ,Schulich - Education Office/Schulich - Windsor Campus/Paedi ,,Associate Professor/MD ,Academic Director/Course Coordinator ,Schulich
"Ayim,Maryann ",BA Waterloo Lutheran; MA Toronto; Ph.D. Waterloo ,Education - Office of the Dean ,,Professor Emerita ,,Education
"Aylen,Marielle ",BFA Ottawa; Ph.D. York ,Arts - Writing/Visual Arts ,,Assistant Professor ,,Arts & Humanities
"Babanski,Alexander ",BFA Ottawa; Ph.D. York ,Computer Science ,,Assistant Professor ,,Science
"Babcock,Mark Anthony ","BSc., Univ of Guelph; MHK, Univ of Windsor; Ph.D., Western ",School of Health Studies ,,Assistant Professor ,,Health Studies
"Babe,Robert E. ","BA, MA Western; Ph.D. Michigan State; ",Info & Media Studies - General ,,Professor ,,Information & Media Studies
"Babenko-Mould,Yolanda Brenda ","BA, MSc (Nursing), Professional Designation Western ",Nursing ,,Assistant Professor ,,Health Sciences
"Babwah,Andy V ",MSc at ILLINOIS STAT ; Ph.D. at MCGILL ; BSc at WEST INDIE ,Physiology and Pharmacology/Obstetrics & Gynaecology ,,Associate Professor ,,Schulich
"Bacard,Hugo ",BS U of Guelph; Ph.D. Western ,Mathematics ,,Assistant Professor ,,Science
"Bacchus,Rahman ",MBBS at WEST INDIES ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Bach,David B ",FRCPCan BSc BMus MDCM at MCGILL ; MFA at PRINCETON ,Diagnost Radiol & Nuclear Med/Department of Medical Imag ,,Professor Emeritus ,,Schulich
"Bacheyie,Godfrey ",FRCPCan MBChB at GHANA ,Paediatrics/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Baddour,Raouf E ",BSc Alexandria; FCSCE; Ph.D. McGill; PEng; THE UNIVERSITY OF WESTERN ONTARIO EXCELLENCE IN TEACHING AWARD (1995) ,Civil & Environmental ,,Professor ,,Engineering
"Baerg,Theodore Paul ",BMUS Wilfrid Laurier; ,Music - Office of the Dean ,Otolaryngology ,Professor ,,Music
"Bagatto,Marlene Patricia ",BA Western; M.CI.Sc. Western; Ph.D. Western ,Communicative Sci & Disorders/National Centre for Audiology ,,Adjunct Research Professor ,,Health Sciences
"Bagga,Amit ",MD at Western ; BSc at WINDSOR ,Department of Medicine/Schulich - Education Office/Schulich ,,Adjunct/MD ,Course Coordinator ,Schulich
"Bagga,Charan ","BA, MA Ontario ",Bachelor of Mgmt & Org Studies ,,Lecturer ,,Social Science
"Baguley,David ",BA Nottingham; DU Nancy; MA Leicester; ,French Studies ,,Adjunct Research Professor/Professor Emeritus ,,Arts & Humanities
